position	saliency
1	-0.000894
2	0.000771
3	0.001065
4	0.000718
5	-0.001426
6	0.002084
7	0.000911
8	-0.001954
9	0.000784
10	-0.010905
11	-0.004068
12	-0.047639
13	-0.020096
14	-0.024757
15	0.022287
16	-0.003923
17	0.016939
18	-0.021501
19	-0.099035
20	-0.048175
21	-0.090932
22	-0.090200
23	-0.020361
24	0.021190
25	-0.023037
26	0.032473
27	0.065872
28	0.076342
29	-0.020080
30	0.172524
31	0.115783
32	0.122473
33	0.133519
34	0.162096
35	0.014655
36	0.030317
37	-0.048726
38	-0.005979
39	-0.021981
40	-0.035779
41	-0.007196
42	-0.052213
43	-0.022054
44	-0.029190
45	-0.051920
46	-0.034836
47	-0.019445
48	-0.003691
49	-0.000984
50	0.011627
51	-0.011338
52	0.044417
53	-0.031941
54	0.055848
55	0.072518
56	0.182818
57	0.096123
58	0.175355
59	0.126688
60	0.054909
61	0.201270
62	-0.005806
63	0.161339
64	0.145007
65	0.068575
66	0.065585
67	0.079764
68	0.050147
69	0.117171
70	0.032892
71	-0.073909
72	0.025124
73	-0.085259
74	-0.054449
75	-0.045896
76	0.003946
77	-0.104301
78	-0.139876
79	-0.083165
80	0.021707
81	-0.134768
82	-0.028933
83	-0.016462
84	0.008037
85	-0.050029
86	0.030149
87	0.069671
88	0.112028
89	0.142418
90	0.067124
91	0.121024
92	0.146110
93	0.371308
94	0.255069
95	0.228792
96	0.317212
97	0.227221
98	0.027133
99	-0.096902
100	-0.099163
101	-0.146446
102	-0.022286
103	-0.171553
104	-0.095508
105	-0.076913
106	-0.022981
107	-0.052375
108	-0.012155
109	-0.025700
110	-0.028182
111	0.034801
112	0.019091
113	0.012293
114	-0.008921
115	0.008697
116	-0.032545
117	-0.014571
118	-0.088599
119	-0.028529
120	-0.017673
121	0.062856
122	0.156841
123	0.213243
124	0.246119
125	0.204783
126	0.126229
127	0.235155
128	0.063614
129	-0.027150
130	0.084513
131	0.011691
132	-0.004708
133	-0.047551
134	0.012784
135	0.400563
136	0.637962
137	0.494732
138	0.775356
139	0.357822
140	0.853748
141	-0.006731
142	1.000000
143	0.524675
144	0.883936
145	0.411402
146	0.427561
147	0.497527
148	-0.238621
149	-0.198573
150	-0.087789
151	-0.095177
152	-0.160534
153	-0.161527
154	-0.161618
155	-0.035917
156	-0.187403
157	-0.184005
158	-0.065672
159	-0.022540
160	-0.120529
161	0.048222
162	-0.096017
163	-0.033541
164	-0.006540
165	0.031324
166	-0.000126
167	-0.024495
168	-0.012654
169	0.012499
170	0.037230
171	-0.036173
172	0.034562
173	0.050830
174	0.055971
175	0.019557
176	0.089031
177	-0.014093
178	0.104322
179	0.077958
180	0.070302
181	0.038047
182	-0.003000
183	-0.080694
184	0.004669
185	0.012401
186	-0.059195
187	-0.059952
188	-0.179203
189	-0.097797
190	-0.069744
191	-0.022761
192	-0.152544
193	-0.099155
194	-0.010067
195	-0.157010
196	-0.066028
197	-0.051618
198	-0.050731
199	0.013975
200	0.044332
201	-0.016289
202	0.047796
203	0.016159
204	-0.012723
205	0.006165
206	0.002012
207	-0.001879
208	-0.001123
209	0.001636
210	0.000376
211	0.001055
212	-0.001818
213	-0.001956
214	0.019355
215	0.017085
216	0.054762
217	0.019240
218	-0.028814
219	0.048376
220	-0.000524
221	0.057492
222	0.065808
223	0.125204
224	0.122177
225	0.080196
226	0.119495
227	0.040926
228	0.036324
229	0.018902
230	-0.001204
