position	saliency
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	-0.000210
7	-0.000920
8	-0.000767
9	-0.003643
10	-0.002537
11	0.000003
12	0.004205
13	-0.002559
14	-0.001777
15	-0.001051
16	-0.002939
17	0.003548
18	0.006748
19	0.005017
20	-0.003089
21	-0.009319
22	0.012822
23	0.018186
24	0.018656
25	0.012700
26	0.003560
27	0.021351
28	0.048650
29	-0.034100
30	-0.007097
31	0.003778
32	0.003751
33	0.023890
34	0.042413
35	0.020223
36	0.000236
37	-0.014580
38	0.001159
39	0.003748
40	-0.002322
41	0.011548
42	0.000908
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000855
64	0.001773
65	0.007164
66	0.020484
67	0.020323
68	-0.003669
69	-0.013569
70	-0.015365
71	0.002699
72	0.047040
73	0.053349
74	0.037092
75	0.047026
76	0.117932
77	-0.001169
78	0.000461
79	-0.013815
80	-0.017771
81	0.003021
82	-0.038165
83	0.009937
84	0.010966
85	0.020454
86	0.006220
87	-0.061062
88	0.065269
89	-0.027791
90	-0.075573
91	-0.041459
92	0.027682
93	-0.019085
94	-0.007045
95	0.004449
96	0.038939
97	0.015369
98	-0.022222
99	-0.022174
100	-0.016725
101	-0.022871
102	-0.007814
103	0.007195
104	0.006786
105	0.009562
106	-0.014303
107	0.008873
108	0.000000
109	0.000000
110	0.000000
111	0.000000
112	0.000000
113	0.000000
114	0.000000
115	0.000000
116	0.000000
117	0.000000
118	0.000000
119	0.000000
120	0.000000
121	0.000000
122	-0.004778
123	0.004706
124	0.091302
125	-0.044764
126	-0.183059
127	0.004585
128	-0.021070
129	0.065089
130	-0.155597
131	0.023095
132	0.022372
133	-0.155421
134	0.090703
135	-0.099054
136	0.881705
137	0.737687
138	0.757761
139	0.830745
140	0.492753
141	-0.294241
142	0.429116
143	-0.082781
144	1.000000
145	0.294287
146	0.408459
147	0.326552
148	-0.117123
149	-0.013849
150	-0.175038
151	0.002459
152	-0.003931
153	-0.016610
154	-0.015897
155	0.007543
156	0.014059
157	0.000000
158	0.000000
159	0.000000
160	0.000000
161	0.000000
162	0.000000
163	0.000000
164	0.000000
165	0.000000
166	0.000000
167	0.000000
168	0.000000
169	0.000000
170	0.000000
171	0.000000
172	0.000000
173	0.000000
174	0.000000
175	0.000000
176	0.000000
177	0.000000
178	0.000000
179	0.000000
180	0.000000
181	0.000000
182	0.000000
183	0.000000
184	0.000000
185	0.000000
186	-0.000102
187	-0.000056
188	-0.000098
189	0.005800
190	-0.006852
191	-0.005368
192	-0.003445
193	0.033661
194	0.004927
195	-0.024191
196	0.008052
197	-0.045565
198	-0.072081
199	-0.034280
200	-0.009995
201	0.017550
202	0.017065
203	-0.026018
204	-0.074996
205	-0.087205
206	-0.015209
207	-0.034099
208	-0.022822
209	-0.009492
210	-0.039821
211	0.009911
212	-0.026272
213	-0.012480
214	0.018511
215	0.013534
216	0.006615
217	0.011693
218	-0.011203
219	0.006862
220	-0.001192
221	-0.002511
222	-0.002318
223	0.002138
224	0.000000
225	0.000000
226	0.000000
227	0.000000
228	0.000000
229	0.000000
230	0.000000
