position	saliency
1	-0.038796
2	-0.073161
3	-0.232704
4	-0.505482
5	0.035702
6	0.117597
7	0.566944
8	0.280690
9	0.448486
10	0.613694
11	0.811358
12	0.135130
13	0.181452
14	-0.231371
15	-0.810244
16	-0.341885
17	-0.609372
18	-0.428669
19	0.142934
20	0.281956
21	0.261986
22	-0.069617
23	-0.326462
24	-0.440371
25	0.232575
26	0.056957
27	-0.123845
28	-0.108804
29	-0.297213
30	-0.218497
31	0.082304
32	-0.026998
33	-0.035905
34	-0.207001
35	-0.067702
36	-0.108636
37	-0.057462
38	0.058849
39	0.063097
40	-0.112102
41	-0.129672
42	0.054595
43	-0.046528
44	0.170960
45	0.190604
46	0.186674
47	-0.140456
48	0.199672
49	0.365674
50	-0.069799
51	-0.105637
52	-0.037672
53	-0.015721
54	-0.197193
55	0.009198
56	0.054856
57	-0.141899
58	-0.095212
59	-0.097571
60	-0.095829
61	-0.101461
62	0.038430
63	0.075630
64	0.090600
65	-0.057106
66	0.000747
67	0.226556
68	-0.014151
69	-0.047928
70	-0.097038
71	0.061749
72	0.042372
73	-0.107430
74	-0.261496
75	0.189519
76	-0.133359
77	-0.253299
78	-0.078570
79	0.025966
80	0.063584
81	-0.145933
82	0.104486
83	0.126929
84	-0.080727
85	-0.058589
86	0.058859
87	0.021559
88	-0.020810
89	-0.099931
90	0.095081
91	-0.016747
92	0.107622
93	-0.007980
94	0.047599
95	-0.114851
96	0.006670
97	0.063208
98	-0.140258
99	-0.154319
100	-0.096241
101	-0.296141
102	-0.417748
103	-0.109707
104	-0.162432
105	-0.220264
106	-0.080899
107	-0.094259
108	-0.057394
109	-0.017621
110	-0.234182
111	-0.189712
112	-0.114283
113	-0.066346
114	0.030153
115	0.081219
116	-0.097390
117	-0.096660
118	-0.046979
119	-0.054457
120	-0.076309
121	-0.079312
122	-0.001882
123	-0.083874
124	0.100052
125	0.045115
126	0.053943
127	-0.254023
128	0.022148
129	0.035403
130	0.218704
131	0.184250
132	-0.000867
133	0.072770
134	-0.019068
135	-0.009344
136	-0.062916
137	-0.085068
138	-0.083137
139	-0.159192
140	-0.060056
141	0.007607
142	0.087576
143	-0.087138
144	0.124155
145	-0.085069
146	-0.072453
147	0.055160
148	0.122395
149	0.053564
150	0.153388
151	0.197060
152	0.238108
153	-0.315141
154	0.151250
155	0.031859
156	-0.005154
157	-0.271821
158	-0.263846
159	-0.247057
160	-0.253407
161	-0.781266
162	0.130537
163	0.220285
164	0.651086
165	0.289566
166	-0.924680
167	0.200889
168	1.000000
169	-0.132633
170	0.282833
171	-0.677632
172	-0.360105
173	0.135542
174	-0.014339
175	-0.158496
176	-0.187889
177	-0.061664
178	-0.253180
179	-0.025546
180	-0.077813
181	0.039937
182	-0.108276
183	-0.333046
184	-0.057708
185	-0.175634
186	-0.066712
187	-0.264367
188	0.041188
189	-0.077348
190	0.136198
191	-0.217097
192	0.133716
193	0.053565
194	-0.300798
195	0.027619
196	0.334016
197	-0.216366
198	-0.261910
199	-0.263781
200	-0.282094
