position	saliency
1	-0.044038
2	-0.055340
3	-0.040506
4	-0.155813
5	0.007359
6	0.083720
7	0.196307
8	0.178768
9	0.200168
10	0.263021
11	-0.048777
12	0.162152
13	0.010942
14	0.075020
15	-0.029623
16	0.129485
17	0.285462
18	0.069346
19	0.799973
20	0.170907
21	-0.121110
22	-0.262046
23	0.103902
24	0.298547
25	0.052527
26	0.144251
27	0.125057
28	0.046937
29	-0.028766
30	-0.004178
31	-0.097891
32	-0.242291
33	0.076198
34	0.035193
35	0.169646
36	-0.011870
37	-0.187932
38	-0.211343
39	0.042209
40	-0.223272
41	-0.049791
42	-0.073081
43	0.006406
44	-0.257018
45	-0.169478
46	-0.066894
47	-0.104910
48	0.209629
49	-0.116238
50	0.111962
51	0.171896
52	0.095653
53	0.109390
54	0.075347
55	0.159246
56	0.208531
57	0.117789
58	0.065578
59	0.053932
60	-0.020233
61	-0.148151
62	0.179566
63	-0.092894
64	0.088395
65	0.000501
66	-0.145351
67	0.083507
68	-0.036819
69	-0.115627
70	0.027171
71	-0.144485
72	0.151315
73	-0.051858
74	-0.281649
75	0.033327
76	0.149663
77	0.050260
78	0.039019
79	-0.149325
80	0.004042
81	0.010875
82	-0.046831
83	0.110370
84	-0.002055
85	-0.206628
86	-0.111238
87	-0.156611
88	0.039113
89	0.003838
90	-0.241428
91	0.261152
92	0.123452
93	0.117960
94	0.190517
95	-0.032624
96	-0.174950
97	-0.038399
98	0.274686
99	0.008848
100	0.102516
101	-0.012828
102	-0.177408
103	0.097125
104	0.140662
105	0.160959
106	0.059990
107	0.008849
108	-0.065868
109	-0.077126
110	0.140485
111	0.050537
112	0.073233
113	-0.011826
114	0.202049
115	-0.041288
116	0.283160
117	-0.050324
118	-0.169430
119	-0.042389
120	0.053931
121	0.464024
122	0.205019
123	0.754677
124	0.348214
125	0.128701
126	-1.000000
127	0.213101
128	0.479576
129	0.434457
130	0.172919
131	0.633762
132	0.524902
133	-0.037926
134	-0.199171
135	-0.045707
136	-0.012555
137	-0.129084
138	-0.110687
139	-0.181087
140	-0.219732
141	0.052283
142	0.031497
143	0.228989
144	-0.392417
145	0.035904
146	0.039843
147	0.069858
148	0.062740
149	0.071720
150	0.248021
151	-0.046956
152	0.150592
153	-0.055020
154	0.119232
155	0.115461
156	-0.090329
157	0.089187
158	-0.108439
159	-0.041051
160	0.026027
161	0.003592
162	-0.018006
163	0.028501
164	-0.023776
165	-0.151637
166	-0.096917
167	0.156123
168	0.022345
169	-0.011353
170	-0.144965
171	0.342588
172	-0.030873
173	-0.160954
174	-0.059031
175	0.088021
176	-0.171520
177	-0.042024
178	-0.008033
179	-0.188165
180	0.110908
181	0.093996
182	-0.146413
183	-0.102918
184	-0.154177
185	0.045372
186	0.084311
187	0.150470
188	0.064229
189	-0.002966
190	-0.102088
191	-0.054477
192	0.000470
193	-0.060890
194	-0.218431
195	-0.071954
196	0.056578
197	-0.068137
198	-0.038721
199	-0.003725
200	-0.014170
