position	saliency
1	0.017912
2	0.011978
3	-0.002347
4	0.012455
5	-0.009940
6	-0.027932
7	0.023067
8	-0.035706
9	-0.049815
10	-0.013665
11	-0.035935
12	-0.033787
13	-0.065874
14	0.003804
15	0.030113
16	0.084368
17	-0.023545
18	-0.093217
19	0.069667
20	-0.126816
21	0.118001
22	0.005344
23	-0.014248
24	0.011166
25	0.046433
26	0.177333
27	0.006843
28	0.078745
29	0.034909
30	0.147787
31	-0.112721
32	0.053787
33	-0.034398
34	-0.056433
35	-0.042621
36	-0.195250
37	-0.040948
38	-0.053862
39	-0.200583
40	-0.088622
41	0.064095
42	0.095724
43	0.110911
44	-0.063516
45	-0.123135
46	0.332040
47	-0.009673
48	0.004566
49	0.099361
50	-0.108082
51	0.391602
52	-0.033355
53	0.019524
54	-0.007526
55	-0.069074
56	0.039836
57	-0.121890
58	0.070044
59	-0.011590
60	-0.075239
61	0.147468
62	-0.214868
63	-0.192170
64	-0.082425
65	-0.265726
66	0.235901
67	-0.247931
68	0.139418
69	0.132160
70	0.067218
71	-0.174140
72	0.036078
73	0.061423
74	0.075205
75	0.190674
76	0.425524
77	-0.113740
78	-0.399378
79	0.031767
80	-0.020180
81	-0.277611
82	-0.086096
83	-0.145760
84	0.074188
85	0.032332
86	0.132646
87	-0.039123
88	0.012865
89	-0.120696
90	0.352897
91	0.033775
92	0.486980
93	0.276353
94	1.000000
95	0.085575
96	-0.034329
97	0.111099
98	0.723902
99	0.273699
100	0.344709
101	-0.064748
102	0.004295
103	-0.353213
104	0.622829
105	-0.275542
106	0.175100
107	-0.247525
108	0.240801
109	0.410267
110	0.165227
111	-0.046184
112	0.125635
113	-0.013813
114	0.024684
115	0.056249
116	-0.033126
117	-0.003336
118	-0.062182
119	0.092492
120	-0.201443
121	-0.068954
122	-0.049471
123	-0.012853
124	0.251861
125	0.291180
126	0.101305
127	0.091416
128	0.090379
129	0.153100
130	0.001414
131	0.425456
132	-0.117531
133	0.224069
134	0.051140
135	-0.141268
136	-0.074494
137	-0.159679
138	0.040388
139	0.060932
140	-0.074401
141	-0.195273
142	-0.123728
143	0.207465
144	-0.104487
145	0.179297
146	-0.137709
147	0.031676
148	0.206157
149	-0.076085
150	0.205326
151	0.104824
152	0.033262
153	-0.113311
154	-0.329657
155	-0.235298
156	-0.348983
157	0.180522
158	-0.162174
159	0.196226
160	-0.073986
161	-0.002263
162	0.400980
163	0.210079
164	0.238382
165	-0.095158
166	0.186717
167	0.215642
168	0.097119
169	-0.159983
170	0.040921
171	-0.087530
172	-0.005091
173	0.203145
174	0.104968
175	0.105509
176	0.133053
177	0.128167
178	0.118765
179	0.044406
180	0.298588
181	0.119484
182	0.062161
183	-0.097054
184	-0.014980
185	0.043040
186	0.062941
187	0.072732
188	0.095191
189	0.386227
190	0.558297
191	-0.124037
192	0.410247
193	-0.203365
194	0.510910
195	0.284768
196	-0.294154
197	-0.112900
198	0.011272
199	0.111042
200	-0.035129
201	-0.012187
202	0.005074
203	-0.076911
204	-0.125614
205	-0.001826
206	-0.066475
207	0.072994
208	-0.009870
209	0.009625
210	0.058335
211	-0.161104
212	-0.027190
213	-0.141049
214	0.042622
215	0.019594
216	-0.094960
217	0.043275
218	-0.019261
219	0.003865
220	0.019082
221	-0.003652
222	-0.001245
223	-0.007153
224	-0.014771
225	-0.012756
226	-0.017216
227	0.007676
228	0.008423
229	-0.007547
230	0.003100
